city,time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,weather_code,pressure_msl,cloud_cover,wind_speed_10m,wind_gusts_10m,wind_direction_10m,rainfall_event,heavy_rain_event,thunderstorm_event,dense_fog_event,dust_storm_event,strong_wind_event,heatwave_event,source_file,fe_year,fe_month,fe_day,fe_dayofyear,fe_season,fe_precipitation_rollmean_3,fe_precipitation_rollmean_7,fe_rain_rollmean_3,fe_rain_rollmean_7,fe_rainfall_event_rollmean_3,fe_rainfall_event_rollmean_7
Nagpur,2023-01-01 00:00:00,19.1,56,10.0,17.6,0.0,0.0,3,1016.9,92,10.0,18.0,15,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 01:00:00,18.1,59,9.9,16.9,0.0,0.0,2,1016.7,72,7.7,16.9,11,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 02:00:00,17.3,63,10.2,16.3,0.0,0.0,2,1016.4,79,7.2,13.3,360,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 03:00:00,16.9,66,10.5,15.7,0.0,0.0,0,1016.1,18,8.6,15.1,358,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 04:00:00,16.5,69,10.7,15.5,0.0,0.0,0,1016.4,0,8.6,15.1,2,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 05:00:00,16.2,71,11.0,15.4,0.0,0.0,0,1017.1,0,7.9,15.5,3,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 06:00:00,16.2,72,11.1,15.3,0.0,0.0,0,1018.2,6,8.0,13.7,5,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 07:00:00,16.5,71,11.3,15.5,0.0,0.0,0,1019.2,0,9.5,15.5,11,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 08:00:00,18.7,63,11.4,17.9,0.0,0.0,1,1020.0,31,8.7,18.7,24,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 09:00:00,21.0,54,11.3,20.2,0.0,0.0,2,1020.5,79,8.5,20.9,36,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 10:00:00,23.3,46,11.0,22.2,0.0,0.0,3,1020.2,94,9.4,23.4,50,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
Nagpur,2023-01-01 11:00:00,25.1,41,10.7,24.6,0.0,0.0,2,1019.5,63,8.8,24.1,55,0,0,0,0,0,0,0,nagpur_weather_2023_2025.csv,2023,1,1,1,winter,0.0,0.0,0.0,0.0,0.0,0.0
